task_key,dataset,task,task_family,gate_outcome,primary_metric,selected_residual_count,fallback_exact_match,role_in_paper,task_class,task_type,target_col,entity_table,entity_col,time_col,completion_status,gate_outcomes,variants_found,decoders_found,gate_files,fallback_files,status_files
rel-arxiv/author-category,rel-arxiv,author-category,multiclass_classification,SELECT,accuracy,3.0,False,strong_positive_mechanism_case,,,,,,,,,,,,,
rel-arxiv/paper-citation,rel-arxiv,paper-citation,binary_classification,FALLBACK,log_loss,0.0,True,real_world_negative_control,PaperCitationTask,binary_classification,cited,papers,Paper_ID,date,COMPLETE_FALLBACK,FALLBACK,fdhg_v2_fallback;temporal_dfs_clean,tabpfn,results/final_tables/relbench_19task_fdhg_gate_paper_table.csv;results/final_tables/relbench_19task_fdhg_gate_unified_summary.csv;results/final_tables/relbench_v2_fdhg_gate_paper_table.csv;results/final_tables/relbench_v2_fdhg_gate_unified_summary.csv,,results/final_tables/task_execution_status.csv
rel-ratebeer/beer-churn,rel-ratebeer,beer-churn,relbench_v2_binary_classification,SELECT,log_loss,8.0,False,weak_positive_case,BeerRatingChurnTask,binary_classification,rating_churn,beers,beer_id,timestamp,COMPLETE_EVALUATED_SELECT,SELECT,dfs;fdhg_residual,tabpfn_classifier,results/final_tables/relbench_19task_fdhg_gate_paper_table.csv;results/final_tables/relbench_19task_fdhg_gate_unified_summary.csv;results/final_tables/relbench_v2_fdhg_gate_paper_table.csv;results/final_tables/relbench_v2_fdhg_gate_unified_summary.csv,,results/final_tables/task_execution_status.csv
rel-ratebeer/beer_ratings-total_score_enriched,rel-ratebeer,beer_ratings-total_score_enriched,relbench_v2_autocomplete_regression_rescued,FALLBACK,rmse,0.0,True,regression_fallback_case,,,,,,,,,,,,,
rel-ratebeer/brewer-dormant,rel-ratebeer,brewer-dormant,relbench_v2_binary_classification,FALLBACK,log_loss,0.0,True,fallback_case,BrewerDormantTask,binary_classification,dormant,brewers,brewer_id,timestamp,COMPLETE_FALLBACK,FALLBACK,dfs;fdhg_residual,tabpfn_classifier,results/final_tables/relbench_19task_fdhg_gate_paper_table.csv;results/final_tables/relbench_19task_fdhg_gate_unified_summary.csv;results/final_tables/relbench_v2_fdhg_gate_paper_table.csv;results/final_tables/relbench_v2_fdhg_gate_unified_summary.csv,,results/final_tables/task_execution_status.csv
rel-ratebeer/user-churn,rel-ratebeer,user-churn,relbench_v2_binary_classification,FALLBACK,log_loss,0.0,True,fallback_case,UserRatingChurnTask,binary_classification,user_churn,users,user_id,timestamp,COMPLETE_FALLBACK,FALLBACK,dfs;fdhg_residual,tabpfn_classifier,results/final_tables/relbench_19task_fdhg_gate_paper_table.csv;results/final_tables/relbench_19task_fdhg_gate_unified_summary.csv;results/final_tables/relbench_v2_fdhg_gate_paper_table.csv;results/final_tables/relbench_v2_fdhg_gate_unified_summary.csv,,results/final_tables/task_execution_status.csv
rel-ratebeer/user-count,rel-ratebeer,user-count,relbench_v2_regression,SELECT,rmse,8.0,False,regression_positive_case,UserRatingCountTask,regression,num_ratings,users,user_id,timestamp,COMPLETE_EVALUATED_SELECT,SELECT,dfs;fdhg_residual,tabpfn_regressor,results/final_tables/relbench_19task_fdhg_gate_paper_table.csv;results/final_tables/relbench_19task_fdhg_gate_unified_summary.csv;results/final_tables/relbench_v2_fdhg_gate_paper_table.csv;results/final_tables/relbench_v2_fdhg_gate_unified_summary.csv,,results/final_tables/task_execution_status.csv
rel-ratebeer/user-place-liked_pairwise,rel-ratebeer,user-place-liked_pairwise,pairwise_recommendation_adapter,FALLBACK,log_loss,0.0,True,fallback_case,,,,,,,,,,,,,
rel-salt/item-incoterms,rel-salt,item-incoterms,relbench_v2_salt_multiclass,FALLBACK,accuracy,,True,fallback_case,AutoCompleteTask,multiclass_classification,ITEMINCOTERMSCLASSIFICATION,salesdocumentitem,ID,CREATIONTIMESTAMP,COMPLETE_FALLBACK,FALLBACK,dfs;fdhg_residual,tabpfn_classifier_multiclass,results/final_tables/relbench_19task_fdhg_gate_paper_table.csv;results/final_tables/relbench_19task_fdhg_gate_unified_summary.csv;results/final_tables/relbench_v2_fdhg_gate_paper_table.csv;results/final_tables/relbench_v2_fdhg_gate_unified_summary.csv,,results/final_tables/task_execution_status.csv
rel-salt/item-plant,rel-salt,item-plant,relbench_v2_salt_multiclass,FALLBACK,accuracy,,True,fallback_case,AutoCompleteTask,multiclass_classification,PLANT,salesdocumentitem,ID,CREATIONTIMESTAMP,COMPLETE_FALLBACK,FALLBACK,dfs;fdhg_residual,tabpfn_classifier_multiclass,results/final_tables/relbench_19task_fdhg_gate_paper_table.csv;results/final_tables/relbench_19task_fdhg_gate_unified_summary.csv;results/final_tables/relbench_v2_fdhg_gate_paper_table.csv;results/final_tables/relbench_v2_fdhg_gate_unified_summary.csv,,results/final_tables/task_execution_status.csv
rel-salt/item-shippoint,rel-salt,item-shippoint,relbench_v2_salt_multiclass,SELECT,accuracy,8.0,False,strong_positive_case,AutoCompleteTask,multiclass_classification,SHIPPINGPOINT,salesdocumentitem,ID,CREATIONTIMESTAMP,COMPLETE_EVALUATED_SELECT,SELECT,dfs;fdhg_residual,tabpfn_classifier_multiclass,results/final_tables/relbench_19task_fdhg_gate_paper_table.csv;results/final_tables/relbench_19task_fdhg_gate_unified_summary.csv;results/final_tables/relbench_v2_fdhg_gate_paper_table.csv;results/final_tables/relbench_v2_fdhg_gate_unified_summary.csv,,results/final_tables/task_execution_status.csv
rel-salt/sales-group,rel-salt,sales-group,,SELECT,accuracy,,False,multiclass_positive_case,AutoCompleteTask,multiclass_classification,SALESGROUP,salesdocument,SALESDOCUMENT,CREATIONTIMESTAMP,COMPLETE_EVALUATED_SELECT,SELECT,dfs;fdhg_residual,catboost_multiclass,results/final_tables/relbench_19task_fdhg_gate_paper_table.csv;results/final_tables/relbench_19task_fdhg_gate_unified_summary.csv;results/final_tables/relbench_v2_fdhg_gate_paper_table.csv;results/final_tables/relbench_v2_fdhg_gate_unified_summary.csv,,results/final_tables/task_execution_status.csv
rel-salt/sales-incoterms,rel-salt,sales-incoterms,,SELECT,accuracy,,False,multiclass_positive_case,AutoCompleteTask,multiclass_classification,HEADERINCOTERMSCLASSIFICATION,salesdocument,SALESDOCUMENT,CREATIONTIMESTAMP,COMPLETE_EVALUATED_SELECT,SELECT,dfs;fdhg_residual,tabpfn_classifier_multiclass,results/final_tables/relbench_19task_fdhg_gate_paper_table.csv;results/final_tables/relbench_19task_fdhg_gate_unified_summary.csv;results/final_tables/relbench_v2_fdhg_gate_paper_table.csv;results/final_tables/relbench_v2_fdhg_gate_unified_summary.csv,,results/final_tables/task_execution_status.csv
rel-salt/sales-office,rel-salt,sales-office,,SELECT,accuracy,,False,multiclass_positive_case,AutoCompleteTask,multiclass_classification,SALESOFFICE,salesdocument,SALESDOCUMENT,CREATIONTIMESTAMP,COMPLETE_EVALUATED_SELECT,SELECT,dfs;fdhg_residual,tabpfn_classifier_multiclass,results/final_tables/relbench_19task_fdhg_gate_paper_table.csv;results/final_tables/relbench_19task_fdhg_gate_unified_summary.csv;results/final_tables/relbench_v2_fdhg_gate_paper_table.csv;results/final_tables/relbench_v2_fdhg_gate_unified_summary.csv,,results/final_tables/task_execution_status.csv
rel-salt/sales-payterms,rel-salt,sales-payterms,,SELECT,accuracy,,False,multiclass_positive_case,AutoCompleteTask,multiclass_classification,CUSTOMERPAYMENTTERMS,salesdocument,SALESDOCUMENT,CREATIONTIMESTAMP,COMPLETE_EVALUATED_SELECT,SELECT,dfs;fdhg_residual,tabpfn_classifier_multiclass,results/final_tables/relbench_19task_fdhg_gate_paper_table.csv;results/final_tables/relbench_19task_fdhg_gate_unified_summary.csv;results/final_tables/relbench_v2_fdhg_gate_paper_table.csv;results/final_tables/relbench_v2_fdhg_gate_unified_summary.csv,,results/final_tables/task_execution_status.csv
rel-salt/sales-shipcond,rel-salt,sales-shipcond,,SELECT,accuracy_then_mrr,,False,multiclass_positive_case,AutoCompleteTask,multiclass_classification,SHIPPINGCONDITION,salesdocument,SALESDOCUMENT,CREATIONTIMESTAMP,COMPLETE_EVALUATED_SELECT,SELECT,dfs;fdhg_residual,tabpfn_classifier_multiclass,results/final_tables/relbench_19task_fdhg_gate_paper_table.csv;results/final_tables/relbench_19task_fdhg_gate_unified_summary.csv;results/final_tables/relbench_v2_fdhg_gate_paper_table.csv;results/final_tables/relbench_v2_fdhg_gate_unified_summary.csv,,results/final_tables/task_execution_status.csv
