task_key,variant,seed,all_common_metrics_exact,mismatch_metrics
rel-arxiv/author-category,dfs,41,False,accuracy|log_loss|macro_f1|micro_f1|mrr|weighted_f1
rel-arxiv/author-category,dfs,42,False,accuracy|log_loss|macro_f1|micro_f1|mrr|weighted_f1
rel-arxiv/author-category,dfs,43,False,accuracy|log_loss|macro_f1|micro_f1|mrr|weighted_f1
rel-arxiv/author-category,dfs,44,False,accuracy|log_loss|macro_f1|micro_f1|mrr|weighted_f1
rel-arxiv/author-category,fdhg_dmax1,41,False,feature_cols|log_loss|macro_f1|mrr|weighted_f1
rel-arxiv/author-category,fdhg_dmax1,42,False,accuracy|feature_cols|log_loss|macro_f1|micro_f1|mrr|weighted_f1
rel-arxiv/author-category,fdhg_dmax1,43,False,accuracy|feature_cols|log_loss|macro_f1|micro_f1|mrr|weighted_f1
rel-arxiv/author-category,fdhg_dmax1,44,False,accuracy|feature_cols|log_loss|macro_f1|micro_f1|mrr|weighted_f1
rel-arxiv/paper-citation,dfs,41,False,average_precision|log_loss|roc_auc|train_parquet|val_parquet
rel-arxiv/paper-citation,dfs,42,False,accuracy|average_precision|log_loss|roc_auc|train_parquet|val_parquet
rel-arxiv/paper-citation,dfs,43,False,accuracy|average_precision|log_loss|roc_auc|train_parquet|val_parquet
rel-arxiv/paper-citation,dfs,44,False,accuracy|average_precision|log_loss|roc_auc|train_parquet|val_parquet
rel-arxiv/paper-citation,fdhg_dmax1,41,False,average_precision|log_loss|roc_auc|train_parquet|val_parquet
rel-arxiv/paper-citation,fdhg_dmax1,42,False,accuracy|average_precision|log_loss|roc_auc|train_parquet|val_parquet
rel-arxiv/paper-citation,fdhg_dmax1,43,False,accuracy|average_precision|log_loss|roc_auc|train_parquet|val_parquet
rel-arxiv/paper-citation,fdhg_dmax1,44,False,accuracy|average_precision|log_loss|roc_auc|train_parquet|val_parquet
rel-ratebeer/beer-churn,dfs,41,False,average_precision|log_loss|roc_auc|train_parquet|val_parquet
rel-ratebeer/beer-churn,dfs,42,False,average_precision|log_loss|roc_auc|train_parquet|val_parquet
rel-ratebeer/beer-churn,dfs,43,False,average_precision|log_loss|roc_auc|train_parquet|val_parquet
rel-ratebeer/beer-churn,dfs,44,False,average_precision|log_loss|roc_auc|train_parquet|val_parquet
rel-ratebeer/beer-churn,fdhg_dmax1,41,False,average_precision|log_loss|roc_auc|train_parquet|val_parquet
rel-ratebeer/beer-churn,fdhg_dmax1,42,False,average_precision|log_loss|roc_auc|train_parquet|val_parquet
rel-ratebeer/beer-churn,fdhg_dmax1,43,False,accuracy|average_precision|log_loss|roc_auc|train_parquet|val_parquet
rel-ratebeer/beer-churn,fdhg_dmax1,44,False,average_precision|log_loss|roc_auc|train_parquet|val_parquet
rel-ratebeer/beer_ratings-total_score,dfs,41,False,mae|n_features|r2|rmse|train_parquet|val_parquet
rel-ratebeer/beer_ratings-total_score,dfs,42,False,mae|n_features|r2|rmse|train_parquet|val_parquet
rel-ratebeer/beer_ratings-total_score,dfs,43,False,mae|n_features|r2|rmse|train_parquet|val_parquet
rel-ratebeer/beer_ratings-total_score,dfs,44,False,mae|n_features|r2|rmse|train_parquet|val_parquet
rel-ratebeer/beer_ratings-total_score,fdhg_dmax1,41,False,mae|n_features|r2|rmse|train_parquet|val_parquet
rel-ratebeer/beer_ratings-total_score,fdhg_dmax1,42,False,mae|n_features|r2|rmse|train_parquet|val_parquet
rel-ratebeer/beer_ratings-total_score,fdhg_dmax1,43,False,mae|n_features|r2|rmse|train_parquet|val_parquet
rel-ratebeer/beer_ratings-total_score,fdhg_dmax1,44,False,mae|n_features|r2|rmse|train_parquet|val_parquet
rel-ratebeer/brewer-dormant,dfs,41,False,accuracy|average_precision|log_loss|roc_auc|train_parquet|val_parquet
rel-ratebeer/brewer-dormant,dfs,42,False,average_precision|log_loss|roc_auc|train_parquet|val_parquet
rel-ratebeer/brewer-dormant,dfs,43,False,accuracy|average_precision|log_loss|roc_auc|train_parquet|val_parquet
rel-ratebeer/brewer-dormant,dfs,44,False,accuracy|average_precision|log_loss|roc_auc|train_parquet|val_parquet
rel-ratebeer/brewer-dormant,fdhg_dmax1,41,False,average_precision|log_loss|roc_auc|train_parquet|val_parquet
rel-ratebeer/brewer-dormant,fdhg_dmax1,42,False,average_precision|log_loss|roc_auc|train_parquet|val_parquet
rel-ratebeer/brewer-dormant,fdhg_dmax1,43,False,average_precision|log_loss|roc_auc|train_parquet|val_parquet
rel-ratebeer/brewer-dormant,fdhg_dmax1,44,False,average_precision|log_loss|roc_auc|train_parquet|val_parquet
rel-ratebeer/user-churn,dfs,41,False,average_precision|log_loss|roc_auc|train_parquet|val_parquet
rel-ratebeer/user-churn,dfs,42,False,average_precision|log_loss|roc_auc|train_parquet|val_parquet
rel-ratebeer/user-churn,dfs,43,False,accuracy|average_precision|log_loss|roc_auc|train_parquet|val_parquet
rel-ratebeer/user-churn,dfs,44,False,average_precision|log_loss|roc_auc|train_parquet|val_parquet
rel-ratebeer/user-churn,fdhg_dmax1,41,False,average_precision|log_loss|roc_auc|train_parquet|val_parquet
rel-ratebeer/user-churn,fdhg_dmax1,42,False,average_precision|log_loss|roc_auc|train_parquet|val_parquet
rel-ratebeer/user-churn,fdhg_dmax1,43,False,average_precision|log_loss|roc_auc|train_parquet|val_parquet
rel-ratebeer/user-churn,fdhg_dmax1,44,False,average_precision|log_loss|roc_auc|train_parquet|val_parquet
rel-ratebeer/user-count,dfs,41,False,decoder|feature_cols|mae|n_train_used|n_val_used|r2|rmse|train_parquet|val_parquet
rel-ratebeer/user-count,dfs,42,False,decoder|feature_cols|mae|n_train_used|n_val_used|r2|rmse|train_parquet|val_parquet
rel-ratebeer/user-count,dfs,43,False,decoder|feature_cols|mae|n_train_used|n_val_used|r2|rmse|train_parquet|val_parquet
rel-ratebeer/user-count,dfs,44,False,decoder|feature_cols|mae|n_train_used|n_val_used|r2|rmse|train_parquet|val_parquet
rel-ratebeer/user-count,fdhg_dmax1,41,False,decoder|feature_cols|mae|n_train_used|n_val_used|r2|rmse|train_parquet|val_parquet
rel-ratebeer/user-count,fdhg_dmax1,42,False,decoder|feature_cols|mae|n_train_used|n_val_used|r2|rmse|train_parquet|val_parquet
rel-ratebeer/user-count,fdhg_dmax1,43,False,decoder|feature_cols|mae|n_train_used|n_val_used|r2|rmse|train_parquet|val_parquet
rel-ratebeer/user-count,fdhg_dmax1,44,False,decoder|feature_cols|mae|n_train_used|n_val_used|r2|rmse|train_parquet|val_parquet
rel-ratebeer/user-place-liked_pairwise,dfs,41,False,average_precision|log_loss|roc_auc|train_parquet|val_parquet
rel-ratebeer/user-place-liked_pairwise,dfs,42,False,accuracy|average_precision|log_loss|roc_auc|train_parquet|val_parquet
rel-ratebeer/user-place-liked_pairwise,dfs,43,False,average_precision|log_loss|roc_auc|train_parquet|val_parquet
rel-ratebeer/user-place-liked_pairwise,dfs,44,False,accuracy|average_precision|log_loss|roc_auc|train_parquet|val_parquet
rel-ratebeer/user-place-liked_pairwise,fdhg_dmax1,41,False,accuracy|average_precision|log_loss|roc_auc|train_parquet|val_parquet
rel-ratebeer/user-place-liked_pairwise,fdhg_dmax1,42,False,average_precision|log_loss|roc_auc|train_parquet|val_parquet
rel-ratebeer/user-place-liked_pairwise,fdhg_dmax1,43,False,average_precision|log_loss|roc_auc|train_parquet|val_parquet
rel-ratebeer/user-place-liked_pairwise,fdhg_dmax1,44,False,accuracy|average_precision|log_loss|roc_auc|train_parquet|val_parquet
rel-salt/item-incoterms,dfs,41,False,accuracy|log_loss|macro_f1|micro_f1|mrr|weighted_f1
rel-salt/item-incoterms,dfs,42,False,log_loss|micro_f1|mrr
rel-salt/item-incoterms,dfs,43,False,log_loss|micro_f1|mrr
rel-salt/item-incoterms,dfs,44,False,log_loss|micro_f1|mrr
rel-salt/item-incoterms,fdhg_dmax1,41,False,accuracy|log_loss|macro_f1|micro_f1|mrr|weighted_f1
rel-salt/item-incoterms,fdhg_dmax1,42,False,accuracy|log_loss|macro_f1|micro_f1|mrr|weighted_f1
rel-salt/item-incoterms,fdhg_dmax1,43,False,accuracy|log_loss|macro_f1|micro_f1|mrr|weighted_f1
rel-salt/item-incoterms,fdhg_dmax1,44,False,accuracy|log_loss|macro_f1|micro_f1|mrr|weighted_f1
rel-salt/item-plant,dfs,41,False,accuracy|log_loss|macro_f1|micro_f1|mrr|weighted_f1
rel-salt/item-plant,dfs,42,False,accuracy|log_loss|macro_f1|micro_f1|mrr|weighted_f1
rel-salt/item-plant,dfs,43,False,accuracy|log_loss|macro_f1|micro_f1|mrr|weighted_f1
rel-salt/item-plant,dfs,44,False,accuracy|log_loss|macro_f1|micro_f1|mrr|weighted_f1
rel-salt/item-plant,fdhg_dmax1,41,False,accuracy|log_loss|macro_f1|micro_f1|mrr|weighted_f1
rel-salt/item-plant,fdhg_dmax1,42,False,accuracy|log_loss|macro_f1|micro_f1|mrr|weighted_f1
rel-salt/item-plant,fdhg_dmax1,43,False,accuracy|log_loss|macro_f1|micro_f1|mrr|weighted_f1
rel-salt/item-plant,fdhg_dmax1,44,False,accuracy|log_loss|macro_f1|micro_f1|mrr|weighted_f1
rel-salt/item-shippoint,dfs,41,False,accuracy|log_loss|macro_f1|micro_f1|mrr|weighted_f1
rel-salt/item-shippoint,dfs,42,False,accuracy|log_loss|macro_f1|micro_f1|mrr|weighted_f1
rel-salt/item-shippoint,dfs,43,False,accuracy|log_loss|macro_f1|micro_f1|mrr|weighted_f1
rel-salt/item-shippoint,dfs,44,False,log_loss|micro_f1|mrr
rel-salt/item-shippoint,fdhg_dmax1,41,False,accuracy|log_loss|macro_f1|micro_f1|mrr|weighted_f1
rel-salt/item-shippoint,fdhg_dmax1,42,False,accuracy|log_loss|macro_f1|micro_f1|mrr|weighted_f1
rel-salt/item-shippoint,fdhg_dmax1,43,False,accuracy|log_loss|macro_f1|micro_f1|mrr|weighted_f1
rel-salt/item-shippoint,fdhg_dmax1,44,False,accuracy|log_loss|macro_f1|micro_f1|mrr|weighted_f1
rel-salt/sales-group,dfs,41,True,
rel-salt/sales-group,dfs,42,True,
rel-salt/sales-group,dfs,43,True,
rel-salt/sales-group,dfs,44,True,
rel-salt/sales-group,fdhg_dmax1,41,True,
rel-salt/sales-group,fdhg_dmax1,42,True,
rel-salt/sales-group,fdhg_dmax1,43,True,
rel-salt/sales-group,fdhg_dmax1,44,True,
rel-salt/sales-incoterms,dfs,41,False,log_loss
rel-salt/sales-incoterms,dfs,42,False,log_loss
rel-salt/sales-incoterms,dfs,43,False,log_loss|mrr
rel-salt/sales-incoterms,dfs,44,False,log_loss
rel-salt/sales-incoterms,fdhg_dmax1,41,False,log_loss|mrr
rel-salt/sales-incoterms,fdhg_dmax1,42,False,log_loss
rel-salt/sales-incoterms,fdhg_dmax1,43,False,log_loss|mrr
rel-salt/sales-incoterms,fdhg_dmax1,44,False,log_loss
rel-salt/sales-office,dfs,41,False,accuracy|log_loss|macro_f1|micro_f1|mrr|weighted_f1
rel-salt/sales-office,dfs,42,False,log_loss|mrr
rel-salt/sales-office,dfs,43,False,log_loss|mrr
rel-salt/sales-office,dfs,44,False,accuracy|log_loss|macro_f1|micro_f1|mrr|weighted_f1
rel-salt/sales-office,fdhg_dmax1,41,False,accuracy|log_loss|macro_f1|micro_f1|mrr|weighted_f1
rel-salt/sales-office,fdhg_dmax1,42,False,accuracy|log_loss|macro_f1|micro_f1|mrr|weighted_f1
rel-salt/sales-office,fdhg_dmax1,43,False,log_loss|mrr
rel-salt/sales-office,fdhg_dmax1,44,False,log_loss
rel-salt/sales-payterms,dfs,41,False,accuracy|log_loss|macro_f1|micro_f1|mrr|weighted_f1
rel-salt/sales-payterms,dfs,42,False,accuracy|log_loss|macro_f1|micro_f1|mrr|weighted_f1
rel-salt/sales-payterms,dfs,43,False,accuracy|log_loss|macro_f1|micro_f1|mrr|weighted_f1
rel-salt/sales-payterms,dfs,44,False,accuracy|log_loss|macro_f1|micro_f1|mrr|weighted_f1
rel-salt/sales-payterms,fdhg_dmax1,41,False,log_loss|mrr
rel-salt/sales-payterms,fdhg_dmax1,42,False,log_loss|mrr
rel-salt/sales-payterms,fdhg_dmax1,43,False,log_loss|mrr
rel-salt/sales-payterms,fdhg_dmax1,44,False,log_loss|mrr
rel-salt/sales-shipcond,dfs,41,False,log_loss|mrr
rel-salt/sales-shipcond,dfs,42,False,log_loss|mrr
rel-salt/sales-shipcond,dfs,43,False,log_loss|mrr
rel-salt/sales-shipcond,dfs,44,False,log_loss|mrr
rel-salt/sales-shipcond,fdhg_dmax1,41,False,accuracy|log_loss|macro_f1|micro_f1|mrr|weighted_f1
rel-salt/sales-shipcond,fdhg_dmax1,42,False,accuracy|log_loss|macro_f1|micro_f1|mrr|weighted_f1
rel-salt/sales-shipcond,fdhg_dmax1,43,False,log_loss|mrr
rel-salt/sales-shipcond,fdhg_dmax1,44,False,log_loss|mrr
