dataset,task,task_family,decoder,gate_outcome,gate_reason,primary_metric,base_variant,candidate_variant,selected_variant,base_n_features,candidate_n_features,selected_residual_count,base_score,candidate_score,gated_score,gain,accuracy_base,accuracy_candidate,accuracy_gated,accuracy_gain,auroc_base,auroc_candidate,auroc_gated,auroc_gain,ap_base,ap_candidate,ap_gated,ap_gain,macro_f1_base,macro_f1_candidate,macro_f1_gated,macro_f1_gain,weighted_f1_base,weighted_f1_candidate,weighted_f1_gated,weighted_f1_gain,mrr_base,mrr_candidate,mrr_gain,log_loss_base,log_loss_candidate,log_loss_gated,log_loss_reduction,rmse_base,rmse_candidate,rmse_gated,rmse_reduction,mae_base,mae_candidate,mae_gated,r2_base,r2_candidate,r2_gated,fallback_exact_match,role_in_paper
rel-arxiv,author-category,multiclass_classification,tabpfn,SELECT,positive_validation_gain,accuracy,dfs_without_category_residual,dfs_plus_category_residual,dfs_plus_category_residual,12.0,15.0,3.0,0.22225,0.4882499999999999,0.4882499999999999,0.2659999999999999,0.22225,,0.4882499999999999,0.2659999999999999,,,,,,,,,0.0518840546527085,,0.3079648054944476,0.2560807508417391,,,,,0.3658582365868764,0.5940229553710696,0.2281647187841932,2.866434413535613,,2.0004706300508177,0.8659637834847951,,,,,,,,,,,False,strong_positive_mechanism_case
rel-arxiv,paper-citation,binary_classification,tabpfn,FALLBACK,no_applicable_residual,log_loss,temporal_dfs_clean,fdhg_v2_fallback,fdhg_v2_fallback,14.0,14.0,0.0,0.530782567185184,0.530782567185184,0.530782567185184,0.0,0.724625,,0.724625,0.0,0.8116088701730677,,0.8116088701730677,0.0,0.8066202778015753,,0.8066202778015753,0.0,,,,,,,,,,,,0.530782567185184,,0.530782567185184,0.0,,,,,,,,,,,True,real_world_negative_control
rel-ratebeer,beer-churn,relbench_v2_binary_classification,tabpfn_classifier,SELECT,lower_validation_log_loss,log_loss,dfs,fdhg_residual,fdhg_residual,9.0,17.0,8.0,0.660660584099654,0.6581031299516781,0.6581031299516781,0.002557454147975924,,,,,0.7180368036651759,0.7207478105353555,0.7207478105353555,0.0027110068701796664,0.7050811546549642,0.7081209844787228,0.7081209844787228,0.0030398298237586108,,,,,,,,,,,,0.660660584099654,0.6581031299516781,0.6581031299516781,0.002557454147975924,,,,,,,,,,,False,weak_positive_case
rel-ratebeer,beer_ratings-total_score_enriched,relbench_v2_autocomplete_regression_rescued,tabpfn_regressor,FALLBACK,lower_validation_rmse,rmse,dfs,fdhg_residual,dfs_fallback,9.0,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,regression_fallback_case
rel-ratebeer,brewer-dormant,relbench_v2_binary_classification,tabpfn_classifier,FALLBACK,lower_validation_log_loss,log_loss,dfs,fdhg_residual,dfs_fallback,5.0,13.0,0.0,0.5510387416743945,0.5512427941288531,0.5510387416743945,0.0,,,,,0.7749427799737663,0.774415170341747,0.7749427799737663,0.0,0.6080287583047346,0.6099847994596992,0.6080287583047346,0.0,,,,,,,,,,,,0.5510387416743945,0.5512427941288531,0.5510387416743945,0.0,,,,,,,,,,,True,fallback_case
rel-ratebeer,user-churn,relbench_v2_binary_classification,tabpfn_classifier,FALLBACK,lower_validation_log_loss,log_loss,dfs,fdhg_residual,dfs_fallback,9.0,17.0,0.0,0.5766863242930735,0.5762785822782767,0.5766863242930735,0.0,,,,,0.7806783337113545,0.7801688228417893,0.7806783337113545,0.0,0.8460610296163154,0.8442485771214655,0.8460610296163154,0.0,,,,,,,,,,,,0.5766863242930735,0.5762785822782767,0.5766863242930735,0.0,,,,,,,,,,,True,fallback_case
rel-ratebeer,user-count,relbench_v2_regression,tabpfn_regressor,SELECT,lower_validation_rmse,rmse,dfs,fdhg_residual,fdhg_residual,9.0,17.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,regression_positive_case
rel-ratebeer,user-place-liked_pairwise,pairwise_recommendation_adapter,tabpfn_classifier,FALLBACK,lower_validation_log_loss,log_loss,dfs,fdhg_residual,dfs_fallback,10.0,18.0,0.0,1.0889027886723532,1.112764772778334,1.0889027886723532,0.0,,,,,0.5568190568190569,0.5511175511175511,0.5568190568190569,0.0,0.5326131043677267,0.5265495079181315,0.5326131043677267,0.0,,,,,,,,,,,,1.0889027886723532,1.112764772778334,1.0889027886723532,0.0,,,,,,,,,,,True,fallback_case
rel-salt,item-incoterms,relbench_v2_salt_multiclass,tabpfn_classifier_multiclass,FALLBACK,,accuracy,dfs,fdhg_residual,dfs_fallback,9.0,17.0,,0.692375,0.690125,0.692375,-0.0022499999999999,0.692375,0.690125,0.692375,-0.0022499999999999,,,,,,,,,0.1436839005763356,0.2357388201458533,0.1436839005763356,0.0920549195695177,0.6097078845668732,0.6268553122683838,0.6097078845668732,0.0171474277015105,,,,1.0911707904662415,1.0425106386010163,1.0911707904662415,0.0,,,,,,,,,,,True,fallback_case
rel-salt,item-plant,relbench_v2_salt_multiclass,tabpfn_classifier_multiclass,FALLBACK,,accuracy,dfs,fdhg_residual,dfs_fallback,9.0,17.0,,0.9662907268170426,0.9654135338345864,0.9662907268170426,-0.0008771929824561,0.9662907268170426,0.9654135338345864,0.9662907268170426,-0.0008771929824561,,,,,,,,,0.756258373575986,0.7613049713981936,0.756258373575986,0.0050465978222076,0.9623445007668278,0.9639575821279704,0.9623445007668278,0.0016130813611425,,,,0.1495750886442369,0.1323346042709179,0.1495750886442369,0.0,,,,,,,,,,,True,fallback_case
rel-salt,item-shippoint,relbench_v2_salt_multiclass,tabpfn_classifier_multiclass,SELECT,,accuracy,dfs,fdhg_residual,fdhg_residual,9.0,17.0,8.0,0.7492477432296891,0.809679037111334,0.809679037111334,0.0604312938816449,0.7492477432296891,0.809679037111334,0.809679037111334,0.0604312938816449,,,,,,,,,0.3892182805785398,0.5647012302176501,0.5647012302176501,0.1754829496391102,0.6506638519597185,0.7936685510893587,0.7936685510893587,0.1430046991296402,,,,0.6107081134460168,0.4185172109253742,0.4185172109253742,0.19219090252064264,,,,,,,,,,,False,strong_positive_case
rel-salt,sales-group,,catboost_multiclass,SELECT,,accuracy,dfs,fdhg_residual,fdhg_residual,,,,0.0775193798449612,0.0806201550387596,,0.0031007751937984,0.0775193798449612,0.0806201550387596,,0.0031007751937984,,,,,,,,,0.0019129858372315,0.0031465568536128,,0.0012335710163813,0.0133542689234243,0.0177520891951766,,0.0043978202717523,0.1212239134713664,0.1260092926883479,0.0047853792169814,5.427295786063885,5.389760948668481,,,,,,,,,,,,,False,multiclass_positive_case
rel-salt,sales-incoterms,,tabpfn_classifier_multiclass,SELECT,higher_accuracy,accuracy,dfs,fdhg_residual,fdhg_residual,,,,0.592,0.597,,0.005,0.592,0.597,,0.005,,,,,,,,,0.0743718592964824,0.0937962777666599,,0.0194244184701774,0.4402814070351759,0.4542553532119271,,0.0139739461767512,0.724197123015873,0.7278861336580087,0.0036890106421356,1.4319715282573584,1.4102735463858282,,,,,,,,,,,,,False,multiclass_positive_case
rel-salt,sales-office,,tabpfn_classifier_multiclass,SELECT,higher_accuracy,accuracy,dfs,fdhg_residual,fdhg_residual,,,,0.999375,0.999625,,0.0002499999999999,0.999375,0.999625,,0.0002499999999999,,,,,,,,,0.425,0.675,,0.25,0.999375,0.999625,,0.0002499999999999,0.9995729166666668,0.9997708333333334,0.0001979166666666,0.0019605021971111,0.0016521179914061,,,,,,,,,,,,,False,multiclass_positive_case
rel-salt,sales-payterms,,tabpfn_classifier_multiclass,SELECT,higher_accuracy,accuracy,dfs,fdhg_residual,fdhg_residual,,,,0.2827663831915957,0.2831415707853927,,0.0003751875937969,0.2827663831915957,0.2831415707853927,,0.0003751875937969,,,,,,,,,0.0061942685462466,0.007148369036781,,0.0009541004905343,0.1248153772741447,0.1255664712500426,,0.0007510939758978,0.4637735752659486,0.4652070372327341,0.0014334619667855,2.7208109883011296,2.703738989081054,,,,,,,,,,,,,False,multiclass_positive_case
rel-salt,sales-shipcond,,tabpfn_classifier_multiclass,SELECT,accuracy_tie_higher_mrr,accuracy_then_mrr,dfs,fdhg_residual,fdhg_residual,,,,0.2722722722722723,0.2722722722722722,,-5.551115123125783e-17,0.2722722722722723,0.2722722722722722,,-5.551115123125783e-17,,,,,,,,,0.01624978629559,0.0181319430893771,,0.0018821567937871,0.1179328734355557,0.1235121929073357,,0.00557931947178,0.474165260559762,0.4767277348289658,0.0025624742692037,2.280721489082585,2.250678511048909,,,,,,,,,,,,,False,multiclass_positive_case
