benchmark_family,dataset,task,task_class,task_type,target_col,entity_table,entity_col,time_col,completion_status,gate_outcomes,statuses_found,seeds_found,has_seed_41_44,metric_complete,has_rmse,has_mae,has_r2,has_accuracy,has_auroc,has_ap,has_log_loss,has_macro_f1,has_weighted_f1,selected_residual_count,fallback_exact_match,variants_found,decoders_found,n_matched_files,gate_files,fallback_files,status_files
4DBInfer,dbinfer-avs,repeater,AVSRepeaterTask,binary_classification,,,,,COMPLETE_EVALUATED_SELECT,SELECT,,41;42;43;44,True,True,True,True,True,True,True,True,True,True,True,,,baseline;combined;residual_only,CatBoost,10,results/final_tables/dbinfer_avs_repeater_catboost_robustness_gate.csv;results/final_tables/dbinfer_avs_repeater_gate_by_seed.csv;results/final_tables/dbinfer_avs_repeater_gate_multiseed.csv;results/final_tables/dbinfer_avs_repeater_tabpfn_gate_by_seed.csv;results/final_tables/dbinfer_avs_repeater_tabpfn_gate_multiseed.csv,,
4DBInfer,dbinfer-retailrocket,cvr,RetailRocketCVRTask,binary_classification,,,,,COMPLETE_EVALUATED_SELECT,SELECT,,41;42;43;44,True,True,True,True,True,True,True,True,True,True,True,,,baseline;combined;combined_no_cart_history;residual_only,,7,results/final_tables/dbinfer_retailrocket_cvr_tabpfn_gate_by_seed.csv;results/final_tables/dbinfer_retailrocket_cvr_tabpfn_gate_multiseed.csv,,
RelBench_v1,rel-amazon,item-churn,ItemChurnTask,binary_classification,churn,product,product_id,timestamp,COMPLETE_EVALUATED_SELECT,SELECT,built_no_clear_afd_marker;complete_multiseed_gate;csv_record;done;exact_match;failed;not_separate;ok;onehop_candidate_selected_afd;success;unknown,41;42;43;44,True,True,True,True,True,True,True,True,True,True,True,8.0,False,FDHG-v1 residual;FDHG-v2 gated selected;JUICE-style residual;base;dfs;dfs_plus_dmax2;dfs_plus_temporal;fdhg_dmax1;fdhg_dmax1_no_ambiguity;fdhg_dmax1_plus_dmax2;fdhg_dmax1_plus_dmax2_proxy;fdhg_dmax1_random_same_budget;fdhg_dmax1_shuffle_ambiguity;fdhg_fkagg;fdhg_plus_dmax2;fdhg_plus_temporal;juice_no_juice2;juice_no_juice2_plus_dmax1;juice_plus_dmax1_ambiguity;juice_style_matched;juice_style_matched_v0;naive;random residual;random_residual_same_budget;random_same_budget;rdblearn;rdblearn_direct;shuffle_ambiguity;target_only,tabpfn,61,results/final_tables/fdhg_v2_gate_ablation_status_table.csv;results/final_tables/rel_amazon_item_churn_binary_gate_by_seed.csv;results/final_tables/rel_amazon_item_churn_binary_gate_multiseed.csv;results/final_tables/validation_gate_item_churn_candidate_table.csv;results/final_tables/validation_gate_item_churn_summary.csv;results/final_tables/validation_gate_relbench_summary_v0.csv;results/final_tables/validation_gate_relbench_summary_v1.csv,results/final_tables/fdhg_fallback_audit_main_4task.csv,results/final_tables/fdhg_v2_gate_ablation_status_table.csv;results/final_tables/task_execution_status.csv
RelBench_v1,rel-amazon,user-churn,UserChurnTask,binary_classification,churn,customer,customer_id,timestamp,COMPLETE_FALLBACK,FALLBACK,built_fdhg_check_manually;built_no_clear_afd_marker;complete_exact_fallback;csv_record;done;failed;ok;success;unknown,41;42;43;44,True,True,True,True,True,True,True,True,True,True,True,0.0,True,dfs;dfs_plus_temporal;fdhg_dmax1;fdhg_plus_temporal;naive;target_only,tabpfn,36,results/final_tables/fdhg_v2_gate_ablation_status_table.csv;results/final_tables/rel_amazon_user_churn_binary_gate_multiseed.csv;results/final_tables/validation_gate_relbench_summary_v0.csv;results/final_tables/validation_gate_relbench_summary_v1.csv,results/final_tables/fdhg_fallback_audit_main_4task.csv;results/final_tables/rel_amazon_user_churn_binary_fallback_by_seed.csv,results/final_tables/fdhg_v2_gate_ablation_status_table.csv;results/final_tables/task_execution_status.csv
RelBench_v1,rel-arxiv,paper-citation,PaperCitationTask,binary_classification,cited,papers,Paper_ID,date,COMPLETE_FALLBACK,FALLBACK,csv_record,41;42;43;44,True,True,True,True,True,True,True,True,True,True,True,0.0,True,fdhg_v2_fallback;temporal_dfs_clean,tabpfn,14,results/final_tables/relbench_19task_fdhg_gate_paper_table.csv;results/final_tables/relbench_19task_fdhg_gate_unified_summary.csv;results/final_tables/relbench_v2_fdhg_gate_paper_table.csv;results/final_tables/relbench_v2_fdhg_gate_unified_summary.csv,,results/final_tables/task_execution_status.csv
RelBench_v1,rel-avito,user-clicks,UserClicksTask,binary_classification,num_click,UserInfo,UserID,timestamp,COMPLETE_FALLBACK,FALLBACK,complete_exact_feature_fallback;csv_record;fallback_no_usable_afd;ok;unknown,41,False,True,True,True,True,True,True,True,True,True,True,0.0,True,dfs;fdhg_dmax1;naive;target_only,not_required_exact_fallback;tabpfn,22,results/final_tables/rel_avito_user_clicks_binary_gate_multiseed.csv,,results/final_tables/task_execution_status.csv
RelBench_v1,rel-avito,user-visits,UserVisitsTask,binary_classification,num_click,UserInfo,UserID,timestamp,COMPLETE_FALLBACK,FALLBACK,built_fdhg_check_manually;built_no_clear_afd_marker;complete_exact_feature_fallback;csv_record;ok;unknown,41,False,True,True,True,True,True,True,True,True,True,True,0.0,True,dfs;fdhg_dmax1;naive;target_only,not_required_exact_fallback;tabpfn,23,results/final_tables/rel_avito_user_visits_binary_gate_multiseed.csv,,results/final_tables/task_execution_status.csv
RelBench_v1,rel-event,user-ignore,UserIgnoreTask,binary_classification,target,users,user,timestamp,COMPLETE_EVALUATED_SELECT,SELECT,built_fdhg_check_manually;built_no_clear_afd_marker;complete_multiseed_gate;csv_record;ok;success;unknown,41;42;43;44,True,True,True,True,True,True,True,True,True,True,True,8.0,False,baseline;baseline_plus_residual;dfs;dfs_plus_temporal;fdhg_dmax1;fdhg_plus_temporal;naive;residual_only;target_only,tabpfn,25,results/final_tables/rel_event_user_ignore_binary_gate_by_seed.csv;results/final_tables/rel_event_user_ignore_binary_gate_multiseed.csv;results/final_tables/rel_event_user_ignore_gate_by_seed.csv;results/final_tables/rel_event_user_ignore_gate_multiseed.csv,,results/final_tables/task_execution_status.csv
RelBench_v1,rel-event,user-repeat,UserRepeatTask,binary_classification,target,users,user,timestamp,COMPLETE_FALLBACK,FALLBACK,built_fdhg_check_manually;built_no_clear_afd_marker;complete_exact_feature_fallback;csv_record;ok;success;unknown,41,False,True,True,True,True,True,True,True,True,True,True,0.0,True,dfs;dfs_plus_temporal;fdhg_dmax1;fdhg_plus_temporal;naive;target_only,not_required_exact_fallback;tabpfn,25,results/final_tables/rel_event_user_repeat_binary_gate_multiseed.csv,,results/final_tables/task_execution_status.csv
RelBench_v1,rel-f1,driver-dnf,DriverDNFTask,binary_classification,did_not_finish,drivers,driverId,date,COMPLETE_FALLBACK,FALLBACK,built_no_clear_afd_marker;complete_exact_match;complete_validation_fallback;csv_record;done;existing;failed;ok;onehop_candidate_selected_afd;success;unknown,41;42;43;44,True,True,True,True,True,True,True,True,True,True,True,,False,dfs;dfs_plus_last;dfs_plus_temporal;fdhg_dmax1;fdhg_plus_last;fdhg_plus_temporal;history_only;last_only;naive;no_statusId;recency_only;results_only;standings_only;target_only;target_temporal_smoke;temporal_full;trend_only;unknown,sklearn;tabpfn,44,results/final_tables/fdhg_v2_gate_ablation_status_table.csv;results/final_tables/rel_f1_driver_dnf_binary_gate_by_seed.csv;results/final_tables/rel_f1_driver_dnf_binary_gate_multiseed.csv;results/final_tables/validation_gate_relbench_summary_v0.csv;results/final_tables/validation_gate_relbench_summary_v1.csv,results/final_tables/fdhg_fallback_audit_main_4task.csv,results/final_tables/fdhg_v2_gate_ablation_status_table.csv;results/final_tables/task_execution_status.csv
RelBench_v1,rel-f1,driver-top3,DriverTop3Task,binary_classification,qualifying,drivers,driverId,date,COMPLETE_EVALUATED_SELECT,SELECT,complete_validation_select;csv_record;ok;unknown,41;42;43;44,True,True,True,True,True,True,True,True,True,True,True,4.0,False,dfs;fdhg_dmax1;target_only,tabpfn,19,results/final_tables/rel_f1_driver_top3_binary_gate_by_seed.csv;results/final_tables/rel_f1_driver_top3_binary_gate_multiseed.csv,,results/final_tables/task_execution_status.csv
RelBench_v1,rel-hm,user-churn,UserChurnTask,binary_classification,churn,customer,customer_id,timestamp,COMPLETE_FALLBACK,FALLBACK,builder_failed_or_incompatible;complete_multiseed_gate;csv_record;failed;ok;unknown,41;42;43;44,True,True,True,True,True,True,True,True,True,True,True,8.0,False,dfs;fdhg_dmax1;target_only,tabpfn,21,results/final_tables/rel_hm_user_churn_binary_gate_by_seed.csv;results/final_tables/rel_hm_user_churn_binary_gate_multiseed.csv,,results/final_tables/task_execution_status.csv
RelBench_v1,rel-ratebeer,beer-churn,BeerRatingChurnTask,binary_classification,rating_churn,beers,beer_id,timestamp,COMPLETE_EVALUATED_SELECT,SELECT,csv_record,,False,False,True,True,True,True,True,False,True,True,True,8.0,False,dfs;fdhg_residual,tabpfn_classifier,11,results/final_tables/relbench_19task_fdhg_gate_paper_table.csv;results/final_tables/relbench_19task_fdhg_gate_unified_summary.csv;results/final_tables/relbench_v2_fdhg_gate_paper_table.csv;results/final_tables/relbench_v2_fdhg_gate_unified_summary.csv,,results/final_tables/task_execution_status.csv
RelBench_v1,rel-ratebeer,brewer-dormant,BrewerDormantTask,binary_classification,dormant,brewers,brewer_id,timestamp,COMPLETE_FALLBACK,FALLBACK,csv_record,,False,False,True,True,True,True,True,False,True,True,True,0.0,True,dfs;fdhg_residual,tabpfn_classifier,11,results/final_tables/relbench_19task_fdhg_gate_paper_table.csv;results/final_tables/relbench_19task_fdhg_gate_unified_summary.csv;results/final_tables/relbench_v2_fdhg_gate_paper_table.csv;results/final_tables/relbench_v2_fdhg_gate_unified_summary.csv,,results/final_tables/task_execution_status.csv
RelBench_v1,rel-ratebeer,user-churn,UserRatingChurnTask,binary_classification,user_churn,users,user_id,timestamp,COMPLETE_FALLBACK,FALLBACK,csv_record,,False,False,True,True,True,True,True,False,True,True,True,0.0,True,dfs;fdhg_residual,tabpfn_classifier,11,results/final_tables/relbench_19task_fdhg_gate_paper_table.csv;results/final_tables/relbench_19task_fdhg_gate_unified_summary.csv;results/final_tables/relbench_v2_fdhg_gate_paper_table.csv;results/final_tables/relbench_v2_fdhg_gate_unified_summary.csv,,results/final_tables/task_execution_status.csv
RelBench_v1,rel-stack,user-badge,UserBadgeTask,binary_classification,WillGetBadge,users,UserId,timestamp,COMPLETE_FALLBACK,FALLBACK,built_no_clear_afd_marker;candidate_exists_needs_matched_check;complete_exact_match;complete_validation_fallback;completed;completed_existing;csv_record;done;existing;ok;onehop_candidate_selected_afd;pending;success;unknown,41;42;43;44,True,True,True,True,True,True,True,True,True,True,True,,False,dfs;dmax2_all;dmax2_only_random16;dmax2_only_supervised_ap_topk16;dmax2_only_supervised_auc_topk16;dmax2_only_topk16;dmax2_random64_only;dmax2_random_same_budget;dmax2_topk;drop_conflict_count;drop_entropy;drop_majconf;drop_support_count;fdhg_dmax1;fdhg_dmax1_dmax2_heuristic_topk16;fdhg_dmax1_dmax2_supervised_ap_topk16;fdhg_dmax1_dmax2_supervised_auc_topk16;fdhg_dmax1_full;fdhg_dmax1_no_ambiguity;fdhg_dmax1_plus_dmax2;fdhg_dmax1_plus_dmax2_label_free_topk16;fdhg_dmax1_plus_dmax2_random16;fdhg_dmax1_plus_dmax2_supervised_ap_topK16;fdhg_dmax1_plus_dmax2_supervised_ap_topk16;fdhg_dmax1_plus_dmax2_supervised_auc_topk16;fdhg_dmax1_plus_dmax2_topk16;fdhg_dmax1_random_same_budget;fdhg_dmax1_shuffle_ambiguity;fdhg_dmax1_small_budget;fdhg_fkagg;fdhg_fkagg_exact;filtered_feature_export_all_variants;juice_on_fdhg_sample;juice_plus_fdhg_dmax1_ambiguity;juice_plus_fdhg_residual;juice_style_matched;juice_style_matched_v0;naive;only_conflict_count;only_entropy;only_majconf;only_support_count;random_same_budget;rdblearn;rdblearn_direct;shuffle_ambiguity;target_only;unknown;value_only_conflict_count;value_only_entropy;value_only_majconf;value_only_support_count,TabPFN;catboost;tabpfn;xgb,91,results/final_tables/fdhg_v2_gate_ablation_status_table.csv;results/final_tables/rel_stack_user_badge_binary_gate_by_seed.csv;results/final_tables/rel_stack_user_badge_binary_gate_multiseed.csv;results/final_tables/validation_gate_relbench_summary_v0.csv;results/final_tables/validation_gate_relbench_summary_v1.csv,results/final_tables/fdhg_fallback_audit_main_4task.csv,results/final_tables/fdhg_v2_gate_ablation_status_table.csv;results/final_tables/phase1_relstack_status_table.csv;results/final_tables/phase1_relstack_status_table_with_notes.csv;results/final_tables/task_execution_status.csv
RelBench_v1,rel-stack,user-engagement,UserEngagementTask,binary_classification,contribution,users,OwnerUserId,timestamp,COMPLETE_FALLBACK,FALLBACK,built_fdhg_check_manually;built_no_clear_afd_marker;complete_exact_feature_fallback;csv_record;ok;unknown,41,False,True,True,True,True,True,True,True,True,True,True,0.0,True,dfs;dfs_plus_temporal;fdhg_dmax1;fdhg_plus_temporal;target_only,not_required_exact_fallback;tabpfn,19,results/final_tables/rel_stack_user_engagement_binary_gate_multiseed.csv,,results/final_tables/task_execution_status.csv
RelBench_v1,rel-trial,study-outcome,StudyOutcomeTask,binary_classification,outcome,studies,nct_id,timestamp,COMPLETE_FALLBACK,FALLBACK,builder_failed_or_incompatible;complete_exact_feature_fallback;csv_record;fallback_no_usable_afd;ok;success;unknown,41,False,True,True,True,True,True,True,True,True,True,True,0.0,True,dfs;fdhg_dmax1;naive;target_only,not_required_exact_fallback;tabpfn,23,results/final_tables/rel_trial_study_outcome_binary_gate_multiseed.csv,,results/final_tables/task_execution_status.csv
RelBench_v1,rel-amazon,item-ltv,ItemLTVTask,regression,ltv,product,product_id,timestamp,COMPLETE_EVALUATED_SELECT,SELECT,built_no_clear_afd_marker;cached_not_evaluated;csv_record;exact_match;failed;ok;onehop_candidate_selected_afd;unknown,41;42;43;44,True,True,True,True,True,True,True,True,True,True,True,,,dfs;dfs_catboost;dfs_log1p;fdhg_dmax1;fdhg_dmax1_catboost;fdhg_dmax1_log1p;target_only,CatBoost;catboost;tabpfn;tabpfn_regressor,27,results/final_tables/rel_amazon_item_ltv_regression_gate_by_seed.csv;results/final_tables/rel_amazon_item_ltv_regression_gate_multiseed.csv;results/final_tables/rel_amazon_item_ltv_tabpfn_log1p_gate_by_seed.csv;results/final_tables/rel_amazon_item_ltv_tabpfn_log1p_gate_multiseed.csv,,results/final_tables/task_execution_status.csv
RelBench_v1,rel-amazon,user-ltv,UserLTVTask,regression,ltv,customer,customer_id,timestamp,COMPLETE_FALLBACK,FALLBACK,built_fdhg_check_manually;built_no_clear_afd_marker;cached_not_evaluated;complete_exact_feature_fallback;csv_record;failed;unknown,41,False,True,True,True,True,True,True,True,True,True,True,0.0,True,dfs;fdhg_dmax1;target_only,not_required_exact_fallback;tabpfn,17,results/final_tables/rel_amazon_user_ltv_regression_gate_multiseed.csv,,results/final_tables/task_execution_status.csv
RelBench_v1,rel-arxiv,author-publication,AuthorPublicationTask,regression,publication_count,authors,Author_ID,date,COMPLETE_FALLBACK,FALLBACK,cached_not_evaluated;csv_record;exact_fallback_no_duplicate_decoder_run,,False,True,True,True,True,True,True,False,True,True,True,0.0,True,dfs;fdhg_dmax1,not_evaluated_exact_fallback,11,results/final_tables/rel_arxiv_author_publication_regression_gate_multiseed.csv,results/final_tables/rel_arxiv_author_publication_regression_fallback_audit.csv,results/final_tables/task_execution_status.csv
