dataset,task,task_family,decoder,variant,gate_selected,gate_decision,gate_reason,n_runs,n_features_mean,n_classes_train_mean,accuracy_mean,accuracy_std,micro_f1_mean,micro_f1_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,mrr_mean,mrr_std,log_loss_mean,log_loss_std,fdhg_no_gate_minus_dfs_accuracy_delta,fdhg_no_gate_minus_dfs_micro_f1_delta,fdhg_no_gate_minus_dfs_macro_f1_delta,fdhg_no_gate_minus_dfs_weighted_f1_delta,fdhg_no_gate_minus_dfs_mrr_delta,fdhg_no_gate_minus_dfs_log_loss_delta,n_val_unseen_dropped_mean
rel-salt,sales-incoterms,relbench_v2_salt_multiclass,tabpfn_classifier_multiclass,dfs_base,False,,,4,9.0,12.0,0.592,0.0,0.592,0.0,0.0743718592964824,0.0,0.4402814070351759,0.0,0.724197123015873,1.2500000000088058e-05,1.4319715282573584,8.394488991465223e-05,0.0050000000000000044,0.0050000000000000044,0.019424418470177493,0.01397394617675124,0.0036890106421356705,-0.02169798187153016,
rel-salt,sales-incoterms,relbench_v2_salt_multiclass,tabpfn_classifier_multiclass,fdhg_no_gate,True,,,4,17.0,12.0,0.597,0.0,0.597,0.0,0.0937962777666599,0.0,0.4542553532119271,0.0,0.7278861336580087,0.00018263888888891348,1.4102735463858282,0.00010035812771274738,0.0050000000000000044,0.0050000000000000044,0.019424418470177493,0.01397394617675124,0.0036890106421356705,-0.02169798187153016,
rel-salt,sales-incoterms,relbench_v2_salt_multiclass,tabpfn_classifier_multiclass,fdhg_v2_gated,True,select_fdhg_residual,higher_accuracy,4,17.0,12.0,0.597,0.0,0.597,0.0,0.0937962777666599,0.0,0.4542553532119271,0.0,0.7278861336580087,0.00018263888888891348,1.4102735463858282,0.00010035812771274738,0.0050000000000000044,0.0050000000000000044,0.019424418470177493,0.01397394617675124,0.0036890106421356705,-0.02169798187153016,
rel-salt,sales-office,relbench_v2_salt_multiclass,tabpfn_classifier_multiclass,dfs_base,False,,,4,9.0,14.0,0.999375,0.0002500000000000742,0.999375,0.0002500000000000742,0.425,0.15000000000000002,0.999375,0.0002500000000000742,0.9995729166666667,0.0001333984216131735,0.001960502197111175,6.466094779765101e-05,0.00024999999999997247,0.00024999999999997247,0.25000000000000006,0.00024999999999997247,0.0001979166666666865,-0.00030838420570502493,
rel-salt,sales-office,relbench_v2_salt_multiclass,tabpfn_classifier_multiclass,fdhg_no_gate,True,,,4,17.0,14.0,0.999625,0.0004787135538781453,0.999625,0.0004787135538781453,0.675,0.3947573094109003,0.999625,0.0004787135538781453,0.9997708333333334,0.00028361913689799916,0.00165211799140615,0.00022114698118485705,0.00024999999999997247,0.00024999999999997247,0.25000000000000006,0.00024999999999997247,0.0001979166666666865,-0.00030838420570502493,
rel-salt,sales-office,relbench_v2_salt_multiclass,tabpfn_classifier_multiclass,fdhg_v2_gated,True,select_fdhg_residual,higher_accuracy,4,17.0,14.0,0.999625,0.0004787135538781453,0.999625,0.0004787135538781453,0.675,0.3947573094109003,0.999625,0.0004787135538781453,0.9997708333333334,0.00028361913689799916,0.00165211799140615,0.00022114698118485705,0.00024999999999997247,0.00024999999999997247,0.25000000000000006,0.00024999999999997247,0.0001979166666666865,-0.00030838420570502493,
rel-salt,sales-payterms,relbench_v2_salt_multiclass,tabpfn_classifier_multiclass,dfs_base,False,,,4,9.0,107.0,0.28276638319159575,0.0002501250625313034,0.28276638319159575,0.0002501250625313034,0.006194268546246675,0.0006360669936895502,0.12481537727414474,0.0005007293172652522,0.4637735752659486,0.00012700582423224351,2.7208109883011296,6.67069417716117e-05,0.0003751875937969551,0.0003751875937969551,0.0009541004905343252,0.0007510939758978707,0.0014334619667855097,-0.01707199922007563,
rel-salt,sales-payterms,relbench_v2_salt_multiclass,tabpfn_classifier_multiclass,fdhg_no_gate,True,,,4,17.0,107.0,0.2831415707853927,0.0,0.2831415707853927,0.0,0.007148369036781,0.0,0.1255664712500426,0.0,0.4652070372327341,5.287238279979433e-06,2.703738989081054,0.0002464138700448569,0.0003751875937969551,0.0003751875937969551,0.0009541004905343252,0.0007510939758978707,0.0014334619667855097,-0.01707199922007563,
rel-salt,sales-payterms,relbench_v2_salt_multiclass,tabpfn_classifier_multiclass,fdhg_v2_gated,True,select_fdhg_residual,higher_accuracy,4,17.0,107.0,0.2831415707853927,0.0,0.2831415707853927,0.0,0.007148369036781,0.0,0.1255664712500426,0.0,0.4652070372327341,5.287238279979433e-06,2.703738989081054,0.0002464138700448569,0.0003751875937969551,0.0003751875937969551,0.0009541004905343252,0.0007510939758978707,0.0014334619667855097,-0.01707199922007563,
rel-salt,sales-shipcond,relbench_v2_salt_multiclass,tabpfn_classifier_multiclass,dfs_base,False,,,4,9.0,32.0,0.2722722722722723,0.0,0.2722722722722723,0.0,0.01624978629559,0.0,0.1179328734355557,0.0,0.47416526055976205,9.424366869976205e-07,2.280721489082585,0.0002008381085040811,-5.551115123125783e-17,-5.551115123125783e-17,0.0018821567937871986,0.005579319471780059,0.0025624742692037517,-0.030042978033675727,
rel-salt,sales-shipcond,relbench_v2_salt_multiclass,tabpfn_classifier_multiclass,fdhg_no_gate,True,,,4,17.0,32.0,0.27227227227227224,0.0017337845921609992,0.27227227227227224,0.0017337845921609992,0.018131943089377198,0.0005934217088771674,0.12351219290733575,0.00034752278789429507,0.4767277348289658,0.000893245699587912,2.250678511048909,0.00024796643497260635,-5.551115123125783e-17,-5.551115123125783e-17,0.0018821567937871986,0.005579319471780059,0.0025624742692037517,-0.030042978033675727,
rel-salt,sales-shipcond,relbench_v2_salt_multiclass,tabpfn_classifier_multiclass,fdhg_v2_gated,True,select_fdhg_residual,accuracy_tie_higher_mrr,4,17.0,32.0,0.27227227227227224,0.0017337845921609992,0.27227227227227224,0.0017337845921609992,0.018131943089377198,0.0005934217088771674,0.12351219290733575,0.00034752278789429507,0.4767277348289658,0.000893245699587912,2.250678511048909,0.00024796643497260635,-5.551115123125783e-17,-5.551115123125783e-17,0.0018821567937871986,0.005579319471780059,0.0025624742692037517,-0.030042978033675727,
rel-salt,sales-group,relbench_v2_salt_multiclass,catboost_multiclass,dfs_base,False,,,4,9.0,385.0,0.0775193798449612,0.0,0.0775193798449612,0.0,0.0019129858372315,0.0,0.0133542689234243,0.0,0.1212239134713664,1.2252853099658463e-05,5.427295786063885,7.119888978596964e-07,0.0031007751937984,0.0031007751937984,0.0012335710163813,0.0043978202717523,0.0047853792169814,-0.0375348373954036,65.0
rel-salt,sales-group,relbench_v2_salt_multiclass,catboost_multiclass,fdhg_no_gate,True,,,4,17.0,385.0,0.0806201550387596,0.0,0.0806201550387596,0.0,0.0031465568536128,0.0,0.0177520891951766,0.0,0.1260092926883479,6.33380012219181e-05,5.389760948668481,1.6105068982570855e-05,0.0031007751937984,0.0031007751937984,0.0012335710163813,0.0043978202717523,0.0047853792169814,-0.0375348373954036,65.0
rel-salt,sales-group,relbench_v2_salt_multiclass,catboost_multiclass,fdhg_v2_gated,True,select_fdhg_residual,,4,17.0,385.0,0.0806201550387596,0.0,0.0806201550387596,0.0,0.0031465568536128,0.0,0.0177520891951766,0.0,0.1260092926883479,6.33380012219181e-05,5.389760948668481,1.6105068982570855e-05,0.0031007751937984,0.0031007751937984,0.0012335710163813,0.0043978202717523,0.0047853792169814,-0.0375348373954036,65.0
